10	13
10.04	13
10.08	17
10.12	11
10.16	16
10.2	9
10.24	15
10.28	8
10.32	7
10.36	16
10.4	12
10.44	9
10.48	11
10.52	8
10.56	15
10.6	14
10.64	12
10.68	8
10.72	15
10.76	9
10.8	9
10.84	8
10.88	7
10.92	13
10.96	12
11	11
11.04	11
11.08	12
11.12	8
11.16	12
11.2	10
11.24	9
11.28	8
11.32	6
11.36	11
11.4	7
11.44	11
11.48	15
11.52	10
11.56	6
11.6	10
11.64	7
11.68	12
11.72	15
11.76	13
11.8	10
11.84	7
11.88	13
11.92	8
11.96	14
12	15
12.04	13
12.08	15
12.12	16
12.16	15
12.2	25
12.24	29
12.28	34
12.32	30
12.36	30
12.4	12
12.44	18
12.48	10
12.52	18
12.56	12
12.6	10
12.64	8
12.68	9
12.72	11
12.76	16
12.8	10
12.84	9
12.88	13
12.92	11
12.96	14
13	8
13.04	17
13.08	12
13.12	8
13.16	9
13.2	6
13.24	7
13.28	10
13.32	8
13.36	7
13.4	12
13.44	8
13.48	14
13.52	8
13.56	10
13.6	13
13.64	14
13.68	14
13.72	8
13.76	10
13.8	10
13.84	11
13.88	2
13.92	12
13.96	8
14	7
14.04	8
14.08	14
14.12	7
14.16	8
14.2	10
14.24	10
14.28	5
14.32	4
14.36	5
14.4	4
14.44	11
14.48	8
14.52	15
14.56	8
14.6	10
14.64	8
14.68	8
14.72	4
14.76	9
14.8	8
14.84	9
14.88	8
14.92	2
14.96	7
15	15
15.04	7
15.08	11
15.12	4
15.16	7
15.2	17
15.24	7
15.28	5
15.32	9
15.36	13
15.4	12
15.44	8
15.48	3
15.52	10
15.56	14
15.6	4
15.64	16
15.68	9
15.72	10
15.76	9
15.8	6
15.84	9
15.88	15
15.92	10
15.96	6
16	6
16.04	8
16.08	14
16.12	7
16.16	4
16.2	6
16.24	9
16.28	8
16.32	4
16.36	10
16.4	4
16.44	10
16.48	10
16.52	13
16.56	11
16.6	13
16.64	7
16.68	8
16.72	12
16.76	4
16.8	6
16.84	6
16.88	11
16.92	7
16.96	9
17	5
17.04	7
17.08	8
17.12	11
17.16	7
17.2	8
17.24	6
17.28	7
17.32	4
17.36	7
17.4	4
17.44	6
17.48	7
17.52	9
17.56	9
17.6	6
17.64	7
17.68	6
17.72	13
17.76	7
17.8	1
17.84	8
17.88	4
17.92	6
17.96	5
18	9
18.04	6
18.08	2
18.12	7
18.16	9
18.2	11
18.24	9
18.28	8
18.32	15
18.36	7
18.4	3
18.44	4
18.48	11
18.52	12
18.56	7
18.6	5
18.64	10
18.68	9
18.72	6
18.76	10
18.8	6
18.84	14
18.88	9
18.92	8
18.96	5
19	8
19.04	5
19.08	13
19.12	3
19.16	18
19.2	7
19.24	6
19.28	3
19.32	13
19.36	12
19.4	5
19.44	7
19.48	5
19.52	13
19.56	3
19.6	5
19.64	12
19.68	6
19.72	4
19.76	12
19.8	6
19.84	15
19.88	5
19.92	14
19.96	6
20	11
20.04	8
20.08	7
20.12	8
20.16	4
20.2	7
20.24	7
20.28	9
20.32	7
20.36	12
20.4	6
20.44	5
20.48	8
20.52	8
20.56	8
20.6	8
20.64	5
20.68	6
20.72	7
20.76	10
20.8	8
20.84	6
20.88	15
20.92	9
20.96	10
21	6
21.04	10
21.08	8
21.12	4
21.16	6
21.2	5
21.24	9
21.28	9
21.32	11
21.36	12
21.4	8
21.44	7
21.48	7
21.52	9
21.56	6
21.6	6
21.64	5
21.68	11
21.72	9
21.76	6
21.8	4
21.84	10
21.88	5
21.92	6
21.96	3
22	8
22.04	8
22.08	7
22.12	4
22.16	5
22.2	3
22.24	11
22.28	7
22.32	9
22.36	11
22.4	12
22.44	8
22.48	5
22.52	8
22.56	5
22.6	8
22.64	12
22.68	10
22.72	9
22.76	7
22.8	3
22.84	6
22.88	5
22.92	13
22.96	10
23	10
23.04	5
23.08	6
23.12	6
23.16	10
23.2	4
23.24	15
23.28	8
23.32	10
23.36	11
23.4	5
23.44	6
23.48	14
23.52	4
23.56	6
23.6	8
23.64	5
23.68	5
23.72	6
23.76	8
23.8	10
23.84	6
23.88	8
23.92	10
23.96	6
24	6
24.04	7
24.08	10
24.12	11
24.16	6
24.2	6
24.24	4
24.28	7
24.32	4
24.36	8
24.4	9
24.44	12
24.48	10
24.52	12
24.56	9
24.6	11
24.64	10
24.68	21
24.72	26
24.76	36
24.8	44
24.84	44
24.88	29
24.92	17
24.96	16
25	10
25.04	14
25.08	10
25.12	6
25.16	10
25.2	11
25.24	13
25.28	15
25.32	8
25.36	11
25.4	3
25.44	9
25.48	13
25.52	8
25.56	7
25.6	11
25.64	10
25.68	7
25.72	14
25.76	14
25.8	12
25.84	16
25.88	16
25.92	16
25.96	12
26	15
26.04	9
26.08	27
26.12	17
26.16	26
26.2	20
26.24	20
26.28	25
26.32	31
26.36	43
26.4	46
26.44	66
26.48	47
26.52	41
26.56	33
26.6	19
26.64	19
26.68	14
26.72	13
26.76	9
26.8	8
26.84	11
26.88	3
26.92	13
26.96	9
27	11
27.04	9
27.08	8
27.12	7
27.16	5
27.2	5
27.24	7
27.28	5
27.32	9
27.36	9
27.4	8
27.44	11
27.48	5
27.52	8
27.56	7
27.6	5
27.64	8
27.68	6
27.72	8
27.76	7
27.8	4
27.84	8
27.88	6
27.92	5
27.96	10
28	11
28.04	7
28.08	3
28.12	10
28.16	6
28.2	4
28.24	3
28.28	10
28.32	7
28.36	7
28.4	7
28.44	7
28.48	5
28.52	7
28.56	6
28.6	6
28.64	6
28.68	6
28.72	8
28.76	11
28.8	13
28.84	3
28.88	4
28.92	4
28.96	4
29	10
29.04	6
29.08	6
29.12	8
29.16	4
29.2	9
29.24	5
29.28	8
29.32	7
29.36	11
29.4	11
29.44	6
29.48	11
29.52	5
29.56	2
29.6	7
29.64	6
29.68	7
29.72	5
29.76	8
29.8	6
29.84	8
29.88	8
29.92	7
29.96	4
30	12
30.04	8
30.08	4
30.12	2
30.16	4
30.2	2
30.24	4
30.28	10
30.32	4
30.36	4
30.4	6
30.44	5
30.48	1
30.52	5
30.56	6
30.6	10
30.64	7
30.68	5
30.72	7
30.76	5
30.8	8
30.84	5
30.88	5
30.92	9
30.96	1
31	6
31.04	7
31.08	7
31.12	9
31.16	5
31.2	9
31.24	5
31.28	3
31.32	6
31.36	3
