Phase name	a(A)	b(A)	c(A)	Crystallite size(A)	Strain(%)
Cohenite, syn	5.0442	6.8375	4.4846	67.13	0.0
Chromium Carbide	4.1364	4.1364	4.1364	77.113	0.3256
Tungsten Carbide	5.0936	5.0936	4.7618	52.72	0.747
