Phase name	a(A)	b(A)	c(A)	Crystallite size(A)	Strain(%)
epsilon-Fe3 C	4.7747	4.7747	4.4466	83.14	0.0
Tongbaite, syn	5.557	2.8179	11.4408	8711.2	0.0031
graphite orthorhombic	2.464	4.1517	28.6793	89.971	0.3422
Graphite 2H	2.4715	2.4715	6.7671	8711.2	0.0031
