m	k	W	Cr	C
0	1.9565	9.4325	1.7065	1.2485
1	1.9560			1.2435
2	1.9560			1.2380
3	1.9555			1.2320
4	1.9565		1.7025	
5	1.9575		1.7005	
6	1.9575		1.6995	
7	1.9565	9.4310		
8	1.9550	9.4295		
9	1.9520	9.4260		
