m	k	W	Cr	C
0	3.075	9.496	1.7455	0.796
1	3.0765	9.4925		
2	3.0785	9.4895		
3	3.077	9.486		
4	3.0755		1.744	
5	3.0745		1.7435	
6	3.075		1.74	
7	3.074			0.796
8	3.0755			0.7885
9	3.0745			0.787
