Phase name	a(A)	b(A)	c(A)	Crystallite size(A)	Strain(%)
Qusongite, syn	2.9547	2.9547	2.7826	65.16	0.0
Tungsten Carbide	2.9924	2.9924	4.7651	8711.2	0.0031
Cohenite, syn	5.1196	6.7278	4.441	50.9713	0.695
