k	W	Cr	C
0.0		0.0	
0.0034999999999998366		-0.0019999999999997797	
0.0030000000000001137		-0.0034999999999998366	
0.0009999999999998899	0.0	-0.0034999999999998366	
0.0004999999999997229	-0.0009999999999994458		
-0.0015000000000000568	-0.0024999999999995026		
-0.0015000000000000568	-0.0024999999999995026		0.0
-0.0015000000000000568			-0.009500000000000064
-0.0015000000000000568			-0.014000000000000012
-0.0015000000000000568			-0.016000000000000014
