k	W	Cr	C
0.0			0.0
-0.0004999999999999449			-0.004999999999999893
-0.0004999999999999449			-0.010499999999999954
-0.0009999999999998899		0.0	-0.01649999999999996
0.0		-0.0040000000000000036	
0.001000000000000112		-0.006000000000000005	
0.001000000000000112	0.0	-0.006999999999999895	
0.0	-0.0015000000000000568		
-0.0014999999999998348	-0.0029999999999983373		
-0.0044999999999999485	-0.006499999999999062		
