k	W	Cr	C
0.0	0.0		
0.0014999999999996128	-0.0035000000000007248		
0.0034999999999998366	-0.0065000000000008384		
0.0019999999999997797	-0.009999999999999787	0.0	
0.0004999999999997229		-0.0015000000000000568	
-0.000500000000000167		-0.0020000000000000018	
0.0		-0.00550000000000006	0.0
-0.001000000000000334			0.0
0.0004999999999997229			-0.007499999999999951
-0.000500000000000167			-0.008999999999999897
