time	Cr-W-C	W-Cr-C	W-C-Cr	C-Cr-W
0	0.0	0.0	0.0	0.0
30	0.00500000000000167	0.00500000000000167	0.015000000000000568	0.004999999999999449
60	0.00500000000000167	0.009999999999998899	0.020000000000002238	0.009999999999998899
90	0.00500000000000167	0.009999999999998899	0.020000000000002238	0.019999999999997797
120	0.00500000000000167	0.015000000000000568	0.030000000000001137	0.039999999999997815
