k	W	Cr	C
0.0	0.0		
0.0015000000000000568	-0.0035000000000007248		
0.0034999999999998366	-0.0065000000000008384		
0.002000000000000224	-0.009999999999999787		0.0
0.0015000000000000568			-0.008499999999999952
0.0015000000000000568			-0.009499999999999953
0.0009999999999998899		0.0	-0.013000000000000012
0.0009999999999998899		-0.0030000000000001137	
-0.0019999999999997797		-0.004999999999999893	
-0.0040000000000000036		-0.006000000000000227	
