	Cr-W-C	W-Cr-C	W-C-Cr	C-Cr-W
$Y_x$	1.99999999999978	14.6666666666709	14.6666666666685	6.49999999999995
$Y_{cr}$	4.52380952380707	7.61904761904566	42.5034013605412	19.4999999999998
